node,handle,topic_type,topics,post_count,engagement,in_degree,out_degree,weighted_in_degree,weighted_out_degree
did:plc:bpwob74tr4ojs3e7ljmizwnd,bryanseah234.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:eqimk7or36eu77ifwyco3uxb,sigma-world.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:aeth3ouewgsexliforqyolgp,driversandnorris.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:2wb7rs3szlzv5bl62ifmmmo2,putting-gott.bsky.social,padel_only,['padel'],2,0,0,0,0,0
did:plc:f7nfvma4oivfdrrkru2no3fe,markgoodrich.bsky.social,padel_only,['padel'],1,1,0,0,0,0
did:plc:swxfjzxmtjmo23d3rlx7rqvi,everton.toffeetvefc.com,padel_only,['padel'],1,2,0,0,0,0
did:plc:4a6iz7wswrtlrzhp4fpdotxe,giveawaydrop.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:whgvxqpobouy3nrqsvo2fldq,torinoindiretta.bsky.social,both,"['padel', 'tennis']",2,1,0,0,0,0
did:plc:ykbqjvi5ok4gkjafeofikgfz,seketika.bsky.social,padel_only,['padel'],2,0,0,0,0,0
did:plc:afazzsycsy6ev6satsalemus,danielrschmidt.bsky.social,padel_only,['padel'],1,2,0,0,0,0
did:plc:atwmo53rgb7e4kuumibwshoj,robbreport.it,padel_only,['padel'],1,0,0,0,0,0
did:plc:3donmcromoa4qukwfsvc26vd,carlgomb.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:d3phlr2ce4royaluryqepkeb,leisurestudies.bsky.social,padel_only,['padel'],1,1,0,0,0,0
did:plc:obnpmju46qcq3rekaizhwkab,indolencia.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:bldjkgoq37uhfyqcdtqui6e5,ardyay.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:ltioiojb4tkfp4vtkn65lwk6,the5krunner.bsky.social,padel_only,['padel'],1,2,0,0,0,0
did:plc:s33lmvk7rwmlypc2qm6wn2lr,llms.activitypub.awakari.com.ap.brid.gy,padel_only,['padel'],3,0,0,0,0,0
did:plc:ywtl7beqwfc6dpy5wwnrj2sf,aicommentaryonnews.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:jcsresdqic5xoax6texrmixd,redlucy54.bsky.social,padel_only,['padel'],1,8,0,0,0,0
did:plc:gkgndl5mhs2amrfz6t55p5oh,thelolgic.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:b7w5f3vlpa4qvf452s4wmive,metropolitanovigo.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:6vn2obf2vevbanjp3olwkegm,lovebellgreen.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:5ulliq37y6wugprgidqyern5,wilayahmy.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:p6nd2xdlb3i3hls7of7mslfv,asianewstoday.bsky.social,both,"['padel', 'tennis']",2,0,0,0,0,0
did:plc:45wrjrcc7blwcix5j3yxy7yc,manfredou.mastodon.social.ap.brid.gy,padel_only,['padel'],1,1,0,0,0,0
